27, 8, pa1-debug-b-output-1.txt
  198.18,   194.36,   192.75
  403.78,   407.83,   200.53
  210.07,   208.10,   211.26
  206.47,   210.49,   336.19
  202.86,   212.87,   461.11
  206.49,   333.03,   208.77
  202.89,   335.41,   333.70
  199.29,   337.79,   458.62
  202.92,   457.95,   206.29
  199.32,   460.33,   331.21
  195.71,   462.72,   456.14
  334.96,   211.75,   214.79
  331.36,   214.13,   339.72
  327.76,   216.51,   464.64
  331.39,   336.67,   212.31
  327.79,   339.06,   337.23
  324.19,   341.44,   462.16
  327.81,   461.60,   209.82
  324.21,   463.98,   334.74
  320.61,   466.36,   459.67
  459.86,   215.39,   218.32
  456.26,   217.78,   343.25
  452.66,   220.16,   468.18
  456.29,   340.32,   215.84
  452.68,   342.70,   340.76
  449.08,   345.08,   465.69
  452.71,   465.24,   213.35
  449.11,   467.62,   338.28
  445.51,   470.01,   463.20
  209.72,   211.89,   451.89
  213.40,   212.21,   576.84
  217.09,   212.53,   701.78
  208.60,   336.88,   451.60
  212.28,   337.20,   576.55
  215.97,   337.52,   701.50
  207.48,   461.88,   451.32
  211.16,   462.20,   576.26
  214.85,   462.52,   701.21
  334.66,   213.00,   448.20
  338.34,   213.32,   573.15
  342.03,   213.64,   698.10
  333.54,   337.99,   447.92
  337.23,   338.31,   572.86
  340.91,   338.64,   697.81
  332.42,   462.99,   447.63
  336.11,   463.31,   572.58
  339.79,   463.63,   697.52
  459.60,   214.11,   444.52
  463.29,   214.43,   569.46
  466.97,   214.75,   694.41
  458.48,   339.11,   444.23
  462.17,   339.43,   569.17
  465.85,   339.75,   694.12
  457.36,   464.10,   443.94
  461.05,   464.42,   568.89
  464.73,   464.74,   693.83
  210.87,   449.66,   211.36
  207.82,   446.41,   336.28
  204.78,   443.16,   461.20
  210.10,   574.62,   214.59
  207.05,   571.37,   339.51
  204.01,   568.12,   464.43
  209.33,   699.57,   217.82
  206.28,   696.32,   342.74
  203.23,   693.08,   467.66
  335.83,   450.35,   214.42
  332.79,   447.11,   339.34
  329.74,   443.86,   464.27
  335.06,   575.31,   217.65
  332.01,   572.06,   342.57
  328.97,   568.81,   467.50
  334.29,   700.27,   220.88
  331.24,   697.02,   345.81
  328.19,   693.77,   470.73
  460.79,   451.05,   217.49
  457.75,   447.80,   342.41
  454.70,   444.55,   467.33
  460.02,   576.00,   220.72
  456.97,   572.75,   345.64
  453.93,   569.51,   470.56
  459.25,   700.96,   223.95
  456.20,   697.71,   348.87
  453.15,   694.46,   473.79
  210.97,   449.87,   450.18
  212.70,   449.25,   575.17
  214.44,   448.63,   700.15
  210.38,   574.87,   450.81
  212.11,   574.25,   575.80
  213.85,   573.63,   700.78
  209.79,   699.87,   451.44
  211.52,   699.25,   576.42
  213.25,   698.63,   701.41
  335.96,   450.47,   448.45
  337.69,   449.85,   573.44
  339.42,   449.23,   698.42
  335.37,   575.47,   449.08
  337.10,   574.85,   574.07
  338.83,   574.23,   699.05
  334.77,   700.47,   449.71
  336.51,   699.85,   574.69
  338.24,   699.23,   699.68
  460.94,   451.07,   446.72
  462.68,   450.45,   571.71
  464.41,   449.83,   696.69
  460.35,   576.07,   447.35
  462.09,   575.45,   572.33
  463.82,   574.83,   697.32
  459.76,   701.07,   447.98
  461.49,   700.45,   572.96
  463.23,   699.83,   697.95
  451.00,   208.27,   209.37
  450.55,   209.25,   334.36
  450.10,   210.22,   459.36
  452.01,   333.26,   208.40
  451.55,   334.24,   333.39
  451.10,   335.22,   458.39
  453.01,   458.25,   207.42
  452.56,   459.23,   332.42
  452.11,   460.21,   457.41
